Date,Match ID,Match
2018-07-13,984455,SønderjyskE v AaB
2018-07-13,984458,Vejle BK v Hobro IK
2018-07-14,984456,FC Midtjylland v AGF
2018-07-15,984453,Vendsyssel FF v OB
2018-07-15,984454,FC Nordsjælland v Esbjerg fB
2018-07-16,984459,F.C. København v AC Horsens
2018-07-16,984457,Randers FC v Brøndby IF
2018-07-20,984460,AaB v FC Midtjylland
2018-07-21,984466,Esbjerg fB v Vendsyssel FF
2018-07-22,984464,AC Horsens v Randers FC
2018-07-22,984465,OB v SønderjyskE
2018-07-22,984462,Brøndby IF v Vejle BK
2018-07-22,984461,AGF v FC Nordsjælland
2018-07-23,984463,Hobro IK v F.C. København
2018-07-27,984471,SønderjyskE v AC Horsens
2018-07-28,984467,FC Midtjylland v Esbjerg fB
2018-07-29,984473,Randers FC v OB
2018-07-29,984472,FC Nordsjælland v Vendsyssel FF
2018-07-29,984468,F.C. København v AaB
2018-07-29,984470,Hobro IK v Brøndby IF
2018-07-30,984469,Vejle BK v AGF
2018-08-03,984474,AGF v SønderjyskE
2018-08-04,984479,Vejle BK v FC Midtjylland
2018-08-04,984480,Esbjerg fB v Randers FC
2018-08-05,984478,OB v F.C. København
2018-08-05,984475,Brøndby IF v FC Nordsjælland
2018-08-05,984477,AC Horsens v Hobro IK
2018-08-06,984476,Vendsyssel FF v AaB
2018-08-10,984483,Vendsyssel FF v Vejle BK
2018-08-11,984487,FC Midtjylland v AC Horsens
2018-08-11,984482,Hobro IK v OB
2018-08-12,984486,F.C. København v Brøndby IF
2018-08-12,984481,AaB v FC Nordsjælland
2018-08-12,984485,Randers FC v AGF
2018-08-13,984484,Esbjerg fB v SønderjyskE
2018-08-17,984493,SønderjyskE v Vendsyssel FF
2018-08-18,984494,OB v FC Midtjylland
2018-08-19,984489,Brøndby IF v Esbjerg fB
2018-08-19,984492,Randers FC v Hobro IK
2018-08-19,984488,AGF v F.C. København
2018-08-19,984490,FC Nordsjælland v Vejle BK
2018-08-20,984491,AC Horsens v AaB
2018-08-24,984498,Hobro IK v AGF
2018-08-25,984497,FC Midtjylland v Randers FC
2018-08-26,984500,FC Nordsjælland v AC Horsens
2018-08-26,984501,Vejle BK v OB
